"Materialnummer","Vorgangsfolge","Anzahl"
1070,"0010 -> 0020",3
1071,"0010",64
1072,"0010 -> 0020",11
1073,"0010 -> 0020",47
1074,"0010 -> 0020",4
1075,"0010",197
1076,"0010",22
1077,"0010 -> 0020",17
1077,"0010",1
1078,"0010 -> 0020",227
1079,"0010 -> 0020",65
1080,"0010 -> 0020",6
1081,"0010 -> 0020",11
1082,"0010 -> 0020",464
1083,"0010 -> 0020",160
1084,"0010 -> 0020",3
1085,"0010 -> 0020",5
1086,"0010 -> 0020",1
1087,"0010 -> 0020",5
1088,"0010 -> 0020",7
1089,"0010 -> 0020",9
1090,"0010 -> 0020",39
1090,"0020 -> 0032",1
1091,"0010 -> 0020",4
1092,"0010 -> 0020",8
1093,"0010 -> 0020",7
1094,"0010 -> 0020",8
1095,"0010 -> 0020",12
1096,"0010 -> 0020",13
1097,"0010 -> 0020",26
1098,"0010 -> 0020",27
1099,"0010 -> 0020",3
1100,"0010 -> 0020",60
1101,"0010 -> 0020",33
1102,"0010 -> 0020",7
1103,"0010 -> 0020",10
1104,"0010 -> 0020",6
1105,"0010 -> 0020",1
1106,"0010 -> 0020",5
1107,"0010 -> 0020",24
1108,"0010 -> 0020",5
1109,"0010 -> 0020 -> 0030 -> 0040 -> 0050",8
1110,"0010 -> 0020",143
1111,"0010 -> 0020",63
1112,"0010 -> 0020",3
1113,"0010 -> 0020",3
1114,"0010 -> 0020",1
1115,"0010 -> 0020",5
1116,"0010 -> 0020",11
1117,"0010 -> 0020",3
1118,"0010 -> 0020",553
1119,"0010 -> 0020",158
1120,"0010 -> 0020",7
1121,"0010 -> 0020",4
1122,"0010 -> 0020",21
1123,"0010 -> 0020",16
1124,"0010 -> 0020",10
1125,"0010 -> 0020",10
1126,"0010 -> 0020",3
1127,"0010 -> 0020",57
1128,"0010 -> 0020",6
1129,"0010 -> 0020",2
1130,"0010 -> 0020",3
1131,"0010 -> 0020",4
1132,"0010 -> 0020",3
1133,"0010 -> 0020",2
1134,"0010 -> 0020",9
1135,"0010 -> 0020",3
1136,"0010 -> 0020",21
1137,"0010 -> 0020",3
1138,"0010 -> 0020",6
1139,"0010 -> 0020",20
1140,"0010 -> 0020",4
1141,"0010 -> 0020",4
1142,"0010 -> 0020",11
1143,"0010 -> 0020",4
1144,"0010 -> 0020",7
1145,"0010 -> 0020",5
1146,"0010 -> 0020",12
1147,"0010 -> 0020",5
1148,"0010 -> 0020",4
1149,"0010 -> 0020",32
1150,"0010 -> 0020",16
1151,"0010 -> 0020",5
1152,"0010 -> 0020",1
1153,"0010 -> 0020",41
1154,"0010 -> 0020",25
1155,"0010 -> 0020",17
1156,"0010 -> 0020",28
1157,"0010 -> 0020",3
1158,"0010 -> 0020",1
1159,"0010 -> 0020",7
1160,"0010 -> 0020",7
1161,"0010 -> 0020",2
1162,"0010 -> 0020",2
1163,"0010 -> 0020",26
1164,"0010 -> 0020",14
1165,"0010 -> 0020",31
1166,"0010 -> 0020",2
1167,"0010 -> 0020",24
1168,"0010 -> 0020",17
1169,"0010 -> 0020",12
1170,"0010 -> 0020",22
1171,"0010 -> 0020",9
1172,"0010 -> 0020",62
